"timestamp","page_group","geo_cc","geo_rg","geo_city","geo_org","geo_netspeed","user_agent_family","user_agent_major","user_agent_os","user_agent_osversion","user_agent_model","referrer","page_index","navigation_type","params_dom_sz","params_dom_ln","params_dom_script","params_dom_img","timers_t_done","timers_t_resp","timers_t_page","tcp_windows","nodes_1000","scripts_10","imgs_10","datetime","dt_year","dt_month","dt_week","dt_day","dt_hour","dt_6hour","dt_12hour","dt_minute","dt_5min","dt_15min","dt_20min","dt_30min"
1409608822762,"dailydealstemplate","US","US:: VA","US:: VA:: Burke","Verizon FiOS","Cable/DSL","Safari","Safari:: 7","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","2nd Page","cookie",903179,4346,107,223,1591,NA,NA,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.762",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822767,"dailydealstemplate","US","US:: MO","US:: MO:: Aurora","Suddenlink Communications","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","11th+ Page","navigation",909026,4349,109,223,3916,533,3383,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.767",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822792,"searchresults","US",NA,NA,"Comcast Cable","Cable/DSL","Firefox","Firefox:: 30","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","3rd-10th Page","navigation",412376,1834,130,15,3627,1617,2010,"16 TCP Windows","2K Nodes","140 Scripts","20 Images","2014-09-01T22:00:22.792",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822808,"easycheckout","US","US:: CT","US:: CT:: Greenwich","Optimum Online","Cable/DSL","Firefox","Firefox:: 31","Windows XP",NA,NA,NA,"11th+ Page","navigation",194601,492,107,9,3510,1484,2026,"8 TCP Windows","1K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.808",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822833,"dailydealstemplate","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,NA,"3rd-10th Page","none",676061,6364,105,223,4466,893,3573,"32 TCP Windows","7K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.833",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822835,"category","US","US:: MA","US:: MA:: Boston","Verizon Internet Services","Cable/DSL","Chrome","Chrome:: 37","Mac OS X","Mac OS X:: 10",NA,"www.google.com","3rd-10th Page","navigation",404181,1747,117,19,1782,259,1523,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.835",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822857,"searchresults","US","US:: CA","US:: CA:: Chula Vista","Cox Communications","Cable/DSL","IE","IE:: 10","Windows 8",NA,NA,"www.staples.com","11th+ Page","navigation",347566,1905,126,14,2874,1306,1568,"16 TCP Windows","2K Nodes","140 Scripts","20 Images","2014-09-01T22:00:22.857",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822863,"dailydealstemplate","US","US:: HI","US:: HI:: Lahaina","Hawaiian Telcom","Cable/DSL","Chrome","Chrome:: 36","Chrome OS","Chrome OS:: 5841",NA,"www.staples.com","2nd Page","navigation",912414,4379,108,223,7856,690,7166,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.863",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822890,"yourcart","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,NA,"11th+ Page","none",329896,1834,114,9,2725,889,1836,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.89",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822903,"skuskuset","US","US:: MA","US:: MA:: Framingham","The Paper Company","Corporate","IE","IE:: 8","Windows XP",NA,NA,"www.staples.com","11th+ Page","cookie",369288,1951,136,10,2485,47,2438,"16 TCP Windows","2K Nodes","140 Scripts","20 Images","2014-09-01T22:00:22.903",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822917,"couponinfo","US","US:: AZ","US:: AZ:: Mesa","Cox Communications","Cable/DSL","IE","IE:: 11","Windows 8.1",NA,NA,"www.staples.com","11th+ Page","navigation",410233,1903,113,13,3758,1374,2384,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.917",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822919,"dailydealstemplate","US","US:: FL","US:: FL:: Brandon","Verizon FiOS","Cable/DSL","IE","IE:: 11","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",895746,4291,106,223,2828,310,2518,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.919",2014,9,36,1,22,18,12,0,0,0,0,0
